Seed,Model,Outlier_Mode,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
3,KNN,winsorize_1_99,218,55,0.7077210633353956,0.16225728422832247,0.8726829565557288,64.38395873111885,29.619709447122577
3,Ridge,winsorize_1_99,218,55,0.6140067515818063,0.4336100237484514,0.8207962748033503,76.38497143360892,40.54287452074024
3,MLP,winsorize_1_99,218,55,0.7431501247595159,0.22688302072941513,0.6228359794215996,110.81525042456218,52.51063317866172
4,RandomForest,none,218,55,0.6334446346429509,0.3722193944320183,0.764602047575457,165.41724273804684,55.403741818181764
4,ExtraTrees,none,218,55,0.6359674372010963,0.38589644016385816,0.7507232549260439,170.2238150502125,60.65910472727269
4,KNN,none,218,55,0.6094831876489261,0.2684427501890934,0.724064342018825,179.09495414279345,55.89497769731655
4,Ridge,none,218,55,0.6616362608143078,0.36370740649095346,0.787732893707445,157.07996173409987,51.88790685746943
4,MLP,none,218,55,0.5021201996248836,0.6787393774537178,0.32778989657519353,279.53227232022033,100.98944922364858
4,RandomForest,iqr_remove,164,55,0.7103348811598307,0.08654962559124424,0.18741978246999147,307.3353808045871,94.90753345454567
4,ExtraTrees,iqr_remove,164,55,0.7363880240645128,0.08633797172046669,0.20800880522603593,303.41679296546755,92.06960581818204
4,KNN,iqr_remove,164,55,0.6767349458861629,0.06182317096583871,0.040643796637834906,333.940721477762,109.72497960272189
4,Ridge,iqr_remove,164,55,0.6922800982605544,0.08852258690590413,0.545463985950912,229.86009753781323,73.56221466155473
4,MLP,iqr_remove,164,55,0.4998691827505694,0.21027847699344063,0.3336876399743406,278.30331009431126,102.85598980173219
4,RandomForest,winsorize_1_99,218,55,0.4913622104012495,0.6663919203554828,0.8185908278905223,145.21419034597739,51.43208218181814
4,ExtraTrees,winsorize_1_99,218,55,0.5582873627949622,0.5350843273342696,0.7865252997255946,157.5261443718838,57.21940690909079
4,KNN,winsorize_1_99,218,55,0.6314764543417194,0.2837804764377169,0.7192261630953183,180.65823190669454,53.40807648229129
4,Ridge,winsorize_1_99,218,55,0.5394008120056637,0.6057099999039254,0.8027250310796594,151.43122266343502,56.80371428187862
4,MLP,winsorize_1_99,218,55,0.523301817565493,0.6442487910895742,0.36425408650241753,271.8449225004176,95.85335504107911
5,RandomForest,none,218,55,0.8538160366298332,0.0509087033690957,-0.7207019154368648,204.38022133327783,55.86618109090912
5,ExtraTrees,none,218,55,0.8842633336790637,0.05597821600181541,0.11877159701378392,146.2615889937891,46.46641200000005
5,KNN,none,218,55,0.8270733656357304,0.10772922876701058,0.2122251403085772,138.28883009679086,44.092005615130894
5,Ridge,none,218,55,0.8299107126911673,0.08342458538506227,0.33542115471239664,127.01625406112184,49.4589091000433
5,MLP,none,218,55,0.7140254447080236,0.19547921397670384,0.6662793423439424,90.0072700160985,43.43908019742209
5,RandomForest,iqr_remove,164,55,0.6365736762312396,0.2278623571338757,0.4871747491953632,111.5759888789443,40.740786545454675
5,ExtraTrees,iqr_remove,164,55,0.7453445488214614,0.10532602683993604,0.5450090914439428,105.09629440354716,39.174933454545695
5,KNN,iqr_remove,164,55,0.6357064743658153,0.12205974134974558,0.24230761242401366,135.62273744669773,49.34416328803575
5,Ridge,iqr_remove,164,55,0.6906762503229769,0.18337648780880902,0.6794646899742467,88.21125139003509,39.99587203160474
5,MLP,iqr_remove,164,55,0.7080290453971837,0.16114099821662842,0.5197582174797004,107.97321056168691,47.26432327708781
5,RandomForest,winsorize_1_99,218,55,0.8482452220057107,0.06304594329246532,-0.8133896959450979,209.8126243009326,56.61119163636369
5,ExtraTrees,winsorize_1_99,218,55,0.8934771159212287,0.04539569619263309,-0.21928283534692694,172.04350195337193,51.4678501818182
5,KNN,winsorize_1_99,218,55,0.8215909917848808,0.12568819725752306,0.25764867719019424,134.24273368338325,44.781863483072144
5,Ridge,winsorize_1_99,218,55,0.8653283767479518,0.059223317001351236,0.079649932853881,149.47293705273148,64.77309492507133
5,MLP,winsorize_1_99,218,55,0.7115241512976987,0.21311628666021906,0.6312105765001915,94.61832874427068,42.53232105824282
6,RandomForest,none,218,55,0.8071785764478789,0.040225531597565874,0.8701579564426848,65.0483016445851,25.590468727272697
6,ExtraTrees,none,218,55,0.8508284917156699,0.07506360662042624,0.8207016073509144,76.43926264131855,31.737041818181694
6,KNN,none,218,55,0.7603043542365866,0.07678605722359276,0.8134741060983823,77.96467195731675,29.797351153261864
6,Ridge,none,218,55,0.8072124841443037,0.10037115419719804,0.6676337765325142,104.07267851470205,53.65225052833296
6,MLP,none,218,55,0.6082450000797706,0.19111366664599888,0.691108438908743,100.33011561223879,55.47347181017915
6,RandomForest,iqr_remove,161,55,0.5877548733319521,0.19010355977230997,0.46123074541184417,132.50421485817014,50.27812400000018
6,ExtraTrees,iqr_remove,161,55,0.7049751539610967,0.1145841756377362,0.4842101740643232,129.64765819510487,50.050166181818405
6,KNN,iqr_remove,161,55,0.6281235500294138,0.13818364042726342,0.17736715748979448,163.73115030006556,63.034825700401235
6,Ridge,iqr_remove,161,55,0.5604432445004894,0.16163464632582125,0.6214863952742669,111.06290728816361,44.7167614467618
6,MLP,iqr_remove,161,55,0.5715675581647416,0.1687388658957919,0.3492228913431631,145.62784569421905,63.281958667589485
6,RandomForest,winsorize_1_99,218,55,0.8179204228443838,0.044394633432885994,0.8700616932213562,65.07241016413647,25.48631127272725
6,ExtraTrees,winsorize_1_99,218,55,0.8671028837523158,0.07340368412884417,0.8270730245024488,75.06883287523037,30.507134909090794
6,KNN,winsorize_1_99,218,55,0.7353349291789494,0.059810153754390756,0.7736268059517499,85.88964154326285,35.45055465657082
6,Ridge,winsorize_1_99,218,55,0.8237851199943353,0.09387828468872754,0.7707034103466877,86.44245423083345,47.26214950130568
6,MLP,winsorize_1_99,218,55,0.675768162696522,0.14881136272957438,0.7689461959300641,86.77304793779776,44.3220470833444
7,RandomForest,none,218,55,0.7503269928964412,0.1158922981239522,0.9136966123615612,58.24342227730272,24.500249090909133
7,ExtraTrees,none,218,55,0.7998154002300568,0.1168793038797798,0.8816503090175444,68.20504941696487,29.539800727272745
