pH,Fe,Mn,Al,SO4,SHAP_pH,SHAP_Fe,SHAP_Mn,SHAP_Al,SHAP_SO4
2.97,41000.0,1300.0,22000.0,460000.0,13.034567487495323,-7.2116394202406795,-88.85635552634261,95.2197449263839,-17.521023246800866
3.68,39000.0,11000.0,260.0,490000.0,8.957224429243121,-1.915006956540751,-20.157514557285456,-73.80150581711922,-3.84587290562566
2.62,85000.0,2200.0,18000.0,600000.0,10.199301479932341,-6.528064153025538,-79.08281443860066,59.31447548156384,-8.06099263173247
2.98,42000.0,1300.0,23000.0,470000.0,12.568724960830197,-6.956471430105436,-90.7255566291688,100.77281288820453,-18.244513521646443
2.54,41000.0,5500.0,40000.0,1700000.0,29.506614733093162,-3.804540762972116,-56.031275453660356,294.0353817035251,54.024992877081566
2.54,97000.0,12000.0,24000.0,1200000.0,20.493020308310026,-2.335952065044603,-2.585863155780216,162.0114083862399,12.75723359953544
2.39,63000.0,9700.0,13000.0,660000.0,14.79812290566421,-5.500728348115464,-19.1046905454692,47.69335665024759,-6.489169848319114
3.1,113000.0,2200.0,28000.0,780000.0,17.15944117762611,-1.9220529513312627,-94.94344765302904,138.31716740006954,-11.17683200181058
2.9,512000.0,8100.0,99711.99999999999,2000000.0,23.558618826174808,21.797752483293827,-44.032768950554924,587.960431287155,39.38708454623824
3.15,192000.0,26000.0,480.0,1100000.0,8.762129531917548,8.529719439826245,137.77886818674526,-111.57990005482627,-6.335172878718902
2.42,76000.0,2500.0,18000.0,910000.0,8.052389891286515,-7.207497800821896,-78.22081511241221,59.18722702309303,-2.6326682236704526
2.3872,201000.0,12000.0,36000.0,1600000.0,27.367496025375832,2.612262922401017,6.442764656777859,314.0121959453371,42.346622547174654
2.4,122000.0,16000.0,20000.0,750000.0,13.2493310880627,-3.612331246021002,26.417657974839386,106.44784106609451,-9.559806190666952
2.56,40000.0,13000.0,34000.0,810000.0,23.468527215193255,-3.795273727151193,24.12635085392949,248.92188706642867,-18.840414144666628
2.51,73000.0,41000.0,24000.0,1100000.0,33.00663980042145,5.276216059833989,467.68028410362905,120.53431092347549,-33.278082909338096
